x = -0.25	y = 1.1547	f = 1.1547
x = -0.245	y = 1.15087	f = 1.15087
x = -0.24	y = 1.14708	f = 1.14708
x = -0.235	y = 1.14332	f = 1.14332
x = -0.23	y = 1.13961	f = 1.13961
x = -0.225	y = 1.13592	f = 1.13592
x = -0.22	y = 1.13228	f = 1.13228
x = -0.215	y = 1.12867	f = 1.12867
x = -0.21	y = 1.12509	f = 1.12509
x = -0.205	y = 1.12154	f = 1.12154
x = -0.2	y = 1.11803	f = 1.11803
x = -0.195	y = 1.11456	f = 1.11456
x = -0.19	y = 1.11111	f = 1.11111
x = -0.185	y = 1.1077	f = 1.1077
x = -0.18	y = 1.10432	f = 1.10432
x = -0.175	y = 1.10096	f = 1.10096
x = -0.17	y = 1.09764	f = 1.09764
x = -0.165	y = 1.09435	f = 1.09435
x = -0.16	y = 1.09109	f = 1.09109
x = -0.155	y = 1.08786	f = 1.08786
x = -0.15	y = 1.08465	f = 1.08465
x = -0.145	y = 1.08148	f = 1.08148
x = -0.14	y = 1.07833	f = 1.07833
x = -0.135	y = 1.07521	f = 1.07521
x = -0.13	y = 1.07211	f = 1.07211
x = -0.125	y = 1.06904	f = 1.06904
x = -0.12	y = 1.066	f = 1.066
x = -0.115	y = 1.06299	f = 1.06299
x = -0.11	y = 1.06	f = 1.06
x = -0.105	y = 1.05703	f = 1.05703
x = -0.1	y = 1.05409	f = 1.05409
x = -0.095	y = 1.05118	f = 1.05118
x = -0.09	y = 1.04828	f = 1.04828
x = -0.085	y = 1.04542	f = 1.04542
x = -0.08	y = 1.04257	f = 1.04257
x = -0.075	y = 1.03975	f = 1.03975
x = -0.07	y = 1.03695	f = 1.03695
x = -0.065	y = 1.03418	f = 1.03418
x = -0.06	y = 1.03142	f = 1.03142
x = -0.055	y = 1.02869	f = 1.02869
x = -0.05	y = 1.02598	f = 1.02598
x = -0.045	y = 1.02329	f = 1.02329
x = -0.04	y = 1.02062	f = 1.02062
x = -0.035	y = 1.01797	f = 1.01797
x = -0.03	y = 1.01535	f = 1.01535
x = -0.025	y = 1.01274	f = 1.01274
x = -0.02	y = 1.01015	f = 1.01015
x = -0.015	y = 1.00759	f = 1.00759
x = -0.01	y = 1.00504	f = 1.00504
x = -0.005	y = 1.00251	f = 1.00251
x = 1.5439e-16	y = 1	f = 1
