x = 0.25	y = 0.894427	f = 0.894427
x = 0.255	y = 0.892644	f = 0.892644
x = 0.26	y = 0.890871	f = 0.890871
x = 0.265	y = 0.889108	f = 0.889108
x = 0.27	y = 0.887357	f = 0.887357
x = 0.275	y = 0.885615	f = 0.885615
x = 0.28	y = 0.883883	f = 0.883883
x = 0.285	y = 0.882162	f = 0.882162
x = 0.29	y = 0.880451	f = 0.880451
x = 0.295	y = 0.87875	f = 0.87875
x = 0.3	y = 0.877058	f = 0.877058
x = 0.305	y = 0.875376	f = 0.875376
x = 0.31	y = 0.873704	f = 0.873704
x = 0.315	y = 0.872041	f = 0.872041
x = 0.32	y = 0.870388	f = 0.870388
x = 0.325	y = 0.868744	f = 0.868744
x = 0.33	y = 0.86711	f = 0.86711
x = 0.335	y = 0.865485	f = 0.865485
x = 0.34	y = 0.863868	f = 0.863868
x = 0.345	y = 0.862261	f = 0.862261
x = 0.35	y = 0.860663	f = 0.860663
x = 0.355	y = 0.859074	f = 0.859074
x = 0.36	y = 0.857493	f = 0.857493
x = 0.365	y = 0.855921	f = 0.855921
x = 0.37	y = 0.854358	f = 0.854358
x = 0.375	y = 0.852803	f = 0.852803
