x = -0.9	y = 3.16228	f = 2.91607
x = -0.895	y = 3.08607	f = 2.86878
x = -0.89	y = 3.01511	f = 2.82311
x = -0.885	y = 2.94884	f = 2.77898
x = -0.88	y = 2.88675	f = 2.73633
x = -0.875	y = 2.82843	f = 2.6951
x = -0.87	y = 2.7735	f = 2.65524
x = -0.865	y = 2.72166	f = 2.61668
x = -0.86	y = 2.67261	f = 2.57938
x = -0.855	y = 2.62613	f = 2.54328
x = -0.85	y = 2.58199	f = 2.50834
x = -0.845	y = 2.54	f = 2.4745
x = -0.84	y = 2.5	f = 2.44173
x = -0.835	y = 2.46183	f = 2.40998
x = -0.83	y = 2.42536	f = 2.37921
x = -0.825	y = 2.39046	f = 2.34938
x = -0.82	y = 2.35702	f = 2.32045
x = -0.815	y = 2.32495	f = 2.29239
x = -0.81	y = 2.29416	f = 2.26516
x = -0.805	y = 2.26455	f = 2.23874
x = -0.8	y = 2.23607	f = 2.21308
x = -0.795	y = 2.20863	f = 2.18817
x = -0.79	y = 2.18218	f = 2.16396
x = -0.785	y = 2.15666	f = 2.14044
x = -0.78	y = 2.13201	f = 2.11758
x = -0.775	y = 2.10819	f = 2.09534
x = -0.77	y = 2.08514	f = 2.07372
x = -0.765	y = 2.06284	f = 2.05268
x = -0.76	y = 2.04124	f = 2.03221
x = -0.755	y = 2.02031	f = 2.01227
x = -0.75	y = 2	f = 1.99286
x = -0.745	y = 1.9803	f = 1.97395
x = -0.74	y = 1.96116	f = 1.95553
x = -0.735	y = 1.94257	f = 1.93757
x = -0.73	y = 1.9245	f = 1.92007
x = -0.725	y = 1.90693	f = 1.90299
x = -0.72	y = 1.88982	f = 1.88633
x = -0.715	y = 1.87317	f = 1.87008
x = -0.71	y = 1.85695	f = 1.85421
x = -0.705	y = 1.84115	f = 1.83872
x = -0.7	y = 1.82574	f = 1.8236
x = -0.695	y = 1.81071	f = 1.80882
x = -0.69	y = 1.79605	f = 1.79438
x = -0.685	y = 1.78174	f = 1.78026
x = -0.68	y = 1.76777	f = 1.76646
x = -0.675	y = 1.75412	f = 1.75296
x = -0.67	y = 1.74078	f = 1.73976
x = -0.665	y = 1.72774	f = 1.72684
x = -0.66	y = 1.71499	f = 1.7142
x = -0.655	y = 1.70251	f = 1.70182
x = -0.65	y = 1.69031	f = 1.6897
x = -0.645	y = 1.67836	f = 1.67782
x = -0.64	y = 1.66667	f = 1.66619
x = -0.635	y = 1.65521	f = 1.6548
x = -0.63	y = 1.64399	f = 1.64363
x = -0.625	y = 1.63299	f = 1.63267
x = -0.62	y = 1.62221	f = 1.62194
x = -0.615	y = 1.61165	f = 1.6114
x = -0.61	y = 1.60128	f = 1.60107
x = -0.605	y = 1.59111	f = 1.59093
x = -0.6	y = 1.58114	f = 1.58098
x = -0.595	y = 1.57135	f = 1.57121
x = -0.59	y = 1.56174	f = 1.56161
x = -0.585	y = 1.5523	f = 1.55219
x = -0.58	y = 1.54303	f = 1.54294
x = -0.575	y = 1.53393	f = 1.53385
x = -0.57	y = 1.52499	f = 1.52492
x = -0.565	y = 1.5162	f = 1.51614
x = -0.56	y = 1.50756	f = 1.5075
x = -0.555	y = 1.49906	f = 1.49902
x = -0.55	y = 1.49071	f = 1.49067
x = -0.545	y = 1.4825	f = 1.48246
x = -0.54	y = 1.47442	f = 1.47439
x = -0.535	y = 1.46647	f = 1.46645
x = -0.53	y = 1.45865	f = 1.45863
x = -0.525	y = 1.45095	f = 1.45093
x = -0.52	y = 1.44338	f = 1.44336
x = -0.515	y = 1.43592	f = 1.4359
x = -0.51	y = 1.42857	f = 1.42856
x = -0.505	y = 1.42134	f = 1.42133
x = -0.5	y = 1.41421	f = 1.4142
x = -0.495	y = 1.4072	f = 1.40719
x = -0.49	y = 1.40028	f = 1.40027
x = -0.485	y = 1.39347	f = 1.39346
x = -0.48	y = 1.38675	f = 1.38675
x = -0.475	y = 1.38013	f = 1.38013
x = -0.47	y = 1.37361	f = 1.3736
x = -0.465	y = 1.36717	f = 1.36717
x = -0.46	y = 1.36083	f = 1.36083
x = -0.455	y = 1.35457	f = 1.35457
x = -0.45	y = 1.3484	f = 1.3484
x = -0.445	y = 1.34231	f = 1.34231
x = -0.44	y = 1.33631	f = 1.33631
x = -0.435	y = 1.33038	f = 1.33038
x = -0.43	y = 1.32453	f = 1.32453
x = -0.425	y = 1.31876	f = 1.31876
x = -0.42	y = 1.31306	f = 1.31306
x = -0.415	y = 1.30744	f = 1.30744
x = -0.41	y = 1.30189	f = 1.30189
x = -0.405	y = 1.29641	f = 1.29641
x = -0.4	y = 1.29099	f = 1.29099
x = -0.395	y = 1.28565	f = 1.28565
x = -0.39	y = 1.28037	f = 1.28037
x = -0.385	y = 1.27515	f = 1.27515
x = -0.38	y = 1.27	f = 1.27
x = -0.375	y = 1.26491	f = 1.26491
x = -0.37	y = 1.25988	f = 1.25988
x = -0.365	y = 1.25491	f = 1.25491
x = -0.36	y = 1.25	f = 1.25
x = -0.355	y = 1.24515	f = 1.24515
x = -0.35	y = 1.24035	f = 1.24035
x = -0.345	y = 1.2356	f = 1.2356
x = -0.34	y = 1.23091	f = 1.23091
x = -0.335	y = 1.22628	f = 1.22628
x = -0.33	y = 1.22169	f = 1.22169
x = -0.325	y = 1.21716	f = 1.21716
x = -0.32	y = 1.21268	f = 1.21268
x = -0.315	y = 1.20824	f = 1.20824
x = -0.31	y = 1.20386	f = 1.20386
x = -0.305	y = 1.19952	f = 1.19952
x = -0.3	y = 1.19523	f = 1.19523
x = -0.295	y = 1.19098	f = 1.19098
x = -0.29	y = 1.18678	f = 1.18678
x = -0.285	y = 1.18262	f = 1.18262
x = -0.28	y = 1.17851	f = 1.17851
x = -0.275	y = 1.17444	f = 1.17444
x = -0.27	y = 1.17041	f = 1.17041
x = -0.265	y = 1.16642	f = 1.16642
x = -0.26	y = 1.16248	f = 1.16248
x = -0.255	y = 1.15857	f = 1.15857
x = -0.25	y = 1.1547	f = 1.1547
x = -0.245	y = 1.15087	f = 1.15087
x = -0.24	y = 1.14708	f = 1.14708
x = -0.235	y = 1.14332	f = 1.14332
x = -0.23	y = 1.13961	f = 1.13961
x = -0.225	y = 1.13592	f = 1.13592
x = -0.22	y = 1.13228	f = 1.13228
x = -0.215	y = 1.12867	f = 1.12867
x = -0.21	y = 1.12509	f = 1.12509
x = -0.205	y = 1.12154	f = 1.12154
x = -0.2	y = 1.11803	f = 1.11803
x = -0.195	y = 1.11456	f = 1.11456
x = -0.19	y = 1.11111	f = 1.11111
x = -0.185	y = 1.1077	f = 1.1077
x = -0.18	y = 1.10432	f = 1.10432
x = -0.175	y = 1.10096	f = 1.10096
x = -0.17	y = 1.09764	f = 1.09764
x = -0.165	y = 1.09435	f = 1.09435
x = -0.16	y = 1.09109	f = 1.09109
x = -0.155	y = 1.08786	f = 1.08786
x = -0.15	y = 1.08465	f = 1.08465
x = -0.145	y = 1.08148	f = 1.08148
x = -0.14	y = 1.07833	f = 1.07833
x = -0.135	y = 1.07521	f = 1.07521
x = -0.13	y = 1.07211	f = 1.07211
x = -0.125	y = 1.06904	f = 1.06904
x = -0.12	y = 1.066	f = 1.066
x = -0.115	y = 1.06299	f = 1.06299
x = -0.11	y = 1.06	f = 1.06
x = -0.105	y = 1.05703	f = 1.05703
x = -0.1	y = 1.05409	f = 1.05409
x = -0.095	y = 1.05118	f = 1.05118
x = -0.09	y = 1.04828	f = 1.04828
